2024-11-23 15:34:55.764 botMg [http-nio-8001-exec-7] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.sys.LoginUserController.findByUserName()
2024-11-23 15:34:55.764 botMg [http-nio-8001-exec-7] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：["admin"]
2024-11-23 15:34:55.801 botMg [http-nio-8001-exec-9] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.sys.LoginUserController.findPermissions()
2024-11-23 15:34:55.801 botMg [http-nio-8001-exec-9] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：["admin"]
2024-11-23 15:35:01.689 botMg [http-nio-8001-exec-10] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 15:35:01.689 botMg [http-nio-8001-exec-10] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 15:35:08.443 botMg [http-nio-8001-exec-1] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 15:35:08.443 botMg [http-nio-8001-exec-1] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 15:52:58.972 botMg [http-nio-8001-exec-4] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 15:52:58.972 botMg [http-nio-8001-exec-4] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 15:53:03.338 botMg [http-nio-8001-exec-2] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 15:53:03.338 botMg [http-nio-8001-exec-2] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 15:54:03.035 botMg [http-nio-8001-exec-3] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 15:54:03.035 botMg [http-nio-8001-exec-3] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 15:54:08.528 botMg [http-nio-8001-exec-6] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 15:54:08.528 botMg [http-nio-8001-exec-6] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 15:57:33.721 botMg [http-nio-8001-exec-5] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 15:57:33.721 botMg [http-nio-8001-exec-5] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 15:57:38.169 botMg [http-nio-8001-exec-8] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 15:57:38.170 botMg [http-nio-8001-exec-8] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 15:58:41.146 botMg [http-nio-8001-exec-7] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 15:58:41.146 botMg [http-nio-8001-exec-7] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 15:58:46.384 botMg [http-nio-8001-exec-9] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 15:58:46.384 botMg [http-nio-8001-exec-9] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
